indend_level,item_code,item_name,item_name_ri,item_code_cpi,indent_level,CPIU,CPIW,year,name_2,name_3,name_1,ri_ref_ym,cpi_yr
3,SERF01,Club dues and fees for participant sports and group exercises,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees",SERF01,3,0.611,0.369,2001,Other recreation services,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees",Recreation,200112,2002
3,SERF02,Admissions,Admissions,SERF02,3,0.804,0.678,2001,Other recreation services,Admissions,Recreation,200112,2002
3,SERF03,Fees for lessons or instructions,Fees for lessons or instructions,SERF03,3,0.178,0.128,2001,Other recreation services,Fees for lessons or instructions,Recreation,200112,2002
3,SERF09,Unsampled recreation services,Unsampled recreation services,SERF,3,0.267,0.19,2001,Other recreation services,Unsampled recreation services,Recreation,200112,2002
3,SERG01,Newspapers and magazines,Newspapers and magazines,SERG01,3,0.265,0.21,2001,Recreational reading materials,Newspapers and magazines,Recreation,200112,2002
3,SERG02,Recreational books,Recreational books,SERG02,3,0.17,0.114,2001,Recreational reading materials,Recreational books,Recreation,200112,2002
3,SERG09,Unsampled recreational reading materials,Unsampled recreational reading materials,SERG,3,0.001,0,2001,Recreational reading materials,Unsampled recreational reading materials,Recreation,200112,2002
3,SEEA01,Educational books and supplies,Educational books and supplies,SEEA,3,0.22,0.203,2001,Education,Educational books and supplies,Education and communication,200112,2002
4,SEEB01,College tuition and fees,College tuition and fees,SEEB01,4,1.162,0.877,2001,Education,"Tuition, other school fees, and childcare",Education and communication,200112,2002
4,SEEB02,Elementary and high school tuition and fees,Elementary and high school tuition and fees,SEEB02,4,0.338,0.258,2001,Education,"Tuition, other school fees, and childcare",Education and communication,200112,2002
4,SEEB03,Child care and nursery school,Day care and preschool,SEEB03,4,0.84,0.895,2001,Education,"Tuition, other school fees, and childcare",Education and communication,200112,2002
4,SEEB04,Technical and business school tuition and fees,Technical and business school tuition and fees,SEEB04,4,0.084,0.077,2001,Education,"Tuition, other school fees, and childcare",Education and communication,200112,2002
4,SEEB09,"Unsampled tuition, other school fees, and childcare","Unsampled tuition, other school fees, and childcare",SEEB,4,0.083,0.071,2001,Education,"Tuition, other school fees, and childcare",Education and communication,200112,2002
4,SEEC01,Postage,Postage,SEEC01,4,0.177,0.145,2001,Communication,Postage and delivery services,Education and communication,200112,2002
4,SEEC02,Delivery services,Delivery services,SEEC02,4,0.007,0.003,2001,Communication,Postage and delivery services,Education and communication,200112,2002
5,SEED03,Wireless telephone services,Wireless telephone services,SEED03,5,0.235,0.24,2001,Communication,Information and information processing,Education and communication,200112,2002
5,SEED04,Land-line telephone services,Residential telephone services,SEED04,5,2.088,2.35,2001,Communication,Information and information processing,Education and communication,200112,2002
4,SEEE01,Personal computers and peripheral equipment,"Computers, peripherals, and smart home assistants",SEEE01,4,0.275,0.253,2001,Communication,"Information technology, hardware and services",Education and communication,200112,2002
